name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;ranking;bestgame;alltime;cabinets;freeplay;short_title;
"1942";"1942 (Revision B)";"1984";Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"capcom/1942.cpp";"Mame 0.19";"1997-04-26";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"270";VERTICAL;256;224;59.637405;"joystick (8-way)";"CRT 15kHz";"Zilog Z80";"maincpu Zilog Z80 @3 MHz, audiocpu Zilog Z80 @3 MHz";"Speaker,AY-3-8910A PSG,Netlist Sound Device";"mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz, snd_nl Netlist Sound Device";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Flying Vertical";Shooter;"194X";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=QuoyjqxuyCA";-;100;NO;NO;YES;NO;English;"90 to 100 (Best Games)";"1984";"29043;29031";NO;"1942";
"1943kai";"1943 Kai: Midway Kaisen (Japan)";"1987";Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"capcom/1943.cpp";"Mame 0.30";"1998-01-08";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"270";VERTICAL;256;224;59.637405;"joystick (8-way)";"CRT 15kHz";"Zilog Z80,Intel 8751";"maincpu Zilog Z80 @6 MHz, audiocpu Zilog Z80 @3 MHz, mcu Intel 8751 @6 MHz";"Speaker,YM2203 OPN";"mono Speaker, ym1 YM2203 OPN @1.5 MHz, ym2 YM2203 OPN @1.5 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Flying Vertical";Shooter;"194X";Japanese;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=HgLcs5fVjgI";-;70;NO;NO;NO;YES;Japanese;"70 to 80 (Good)";-;"29043;29031";NO;"1943 Kai: Midway Kaisen";
"1943";"1943: The Battle of Midway (Euro)";"1987";Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"capcom/1943.cpp";"Mame 0.29";"1997-10-20";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"270";VERTICAL;256;224;59.637405;"joystick (8-way)";"CRT 15kHz";"Zilog Z80,Intel 8751";"maincpu Zilog Z80 @6 MHz, audiocpu Zilog Z80 @3 MHz, mcu Intel 8751 @6 MHz";"Speaker,YM2203 OPN";"mono Speaker, ym1 YM2203 OPN @1.5 MHz, ym2 YM2203 OPN @1.5 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;BADDUMP;-;"Shooter / Flying Vertical";Shooter;"194X";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=DX8wBb75jgM";-;100;NO;NO;NO;NO;English;"50 to 60 (Not Good Enough)";"1987";"29043;29031";NO;"1943: The Battle of Midway";
"1943mii";"1943: The Battle of Midway Mark II (US)";"1987";Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"capcom/1943.cpp";"Mame 0.175";"2016-06-29";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"270";VERTICAL;256;224;59.637405;"joystick (8-way)";"CRT 15kHz";"Zilog Z80,Intel 8751";"maincpu Zilog Z80 @6 MHz, audiocpu Zilog Z80 @3 MHz, mcu Intel 8751 @6 MHz";"Speaker,YM2203 OPN";"mono Speaker, ym1 YM2203 OPN @1.5 MHz, ym2 YM2203 OPN @1.5 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Flying Vertical";Shooter;"194X";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=uv1dKefDUKs";-;0;NO;NO;NO;NO;English;"50 to 60 (Not Good Enough)";-;"29043;29031";NO;"1943: The Battle of Midway Mark II";
"1944";"1944: The Loop Master (Euro 000620)";"2000";"Eighting / Raizing (Capcom license)";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"capcom/cps2.cpp";"Mame 0.66";"2003-03-10";"Mame 0.254";"2023-04-27";2;2;2;2;1;RASTER;"0";HORIZONTAL;384;224;59.637405;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @16 MHz, audiocpu Zilog Z80 @8 MHz";"Speaker,QSound (HLE)";"lspeaker Speaker, rspeaker Speaker, qsound QSound (HLE) @60 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Flying Vertical";Shooter;"194X";English;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=G9zP1B4yqHQ";-;100;NO;NO;NO;NO;English;"80 to 90 (Very Good)";"2000";-;NO;"1944: The Loop Master";
"1945kiii";"1945k III (newer, OPCX2 PCB)";"2000";"Oriental Soft";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"promat/1945kiii.cpp";"Mame 0.82";"2004-05-06";"Mame 0.254";"2023-04-27";2;4;1;1;1;RASTER;"270";VERTICAL;320;224;59.637405;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000";"maincpu Motorola MC68000 @16 MHz";"Speaker,OKI MSM6295 ADPCM";"mono Speaker, oki1 OKI MSM6295 ADPCM @1 MHz, oki2 OKI MSM6295 ADPCM @1 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Flying Vertical";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=j9L2BfBLRXo";-;100;NO;NO;NO;NO;English;"70 to 80 (Good)";-;-;NO;"1945k III";
"19xx";"19XX: The War Against Destiny (Euro 960104)";"1996";Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"capcom/cps2.cpp";"Mame 0.37b13 (0.49)";"2001-03-10";"Mame 0.254";"2023-04-27";2;2;2;2;1;RASTER;"270";VERTICAL;384;224;59.637405;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @16 MHz, audiocpu Zilog Z80 @8 MHz";"Speaker,QSound (HLE)";"lspeaker Speaker, rspeaker Speaker, qsound QSound (HLE) @60 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Flying Vertical";Shooter;"194X";English;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=XZ-zoCbLUoA";-;95;NO;NO;YES;NO;English;"80 to 90 (Very Good)";"1996";-;NO;"19XX: The War Against Destiny";
openice;"2 On 2 Open Ice Challenge (rev 1.21)";"1995";Midway;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;midway/midwunit.cpp;"Mame 0.37b5 (0.41)";"2000-07-27";"Mame 0.254";"2023-04-27";4;3;4;1;1;RASTER;"0";HORIZONTAL;400;254;54.706840;"joystick (8-way)";"CRT 15kHz";"Texas Instruments TMS34010,Analog Devices ADSP-2105";"maincpu Texas Instruments TMS34010 @50 MHz, dcs:dcs Analog Devices ADSP-2105 @10 MHz";"Speaker,DMA-driven DAC";"dcs:mono Speaker, dcs:dac DMA-driven DAC";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Sports / Hockey";Sports;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"4P sim";-;"https://www.youtube.com/watch?v=U8zJk397DUc";-;0;NO;NO;NO;NO;English;"70 to 80 (Good)";"1995";"29475;29478";NO;"2 On 2 Open Ice Challenge";
"2020bb";"2020 Super Baseball (set 1)";"1991";"SNK / Pallas";YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO;YES;NO;YES;neogeo/neogeo.cpp;"Mame 0.34rc1";"1998-12-14";"Mame 0.254";"2023-04-27";2;4;2;2;1;RASTER;"0";HORIZONTAL;320;224;59.185606;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @12 MHz, audiocpu Zilog Z80 @4 MHz";"YM2610 OPNB,Speaker";"ymsnd YM2610 OPNB @8 MHz, lspeaker Speaker, rspeaker Speaker";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;"memcard,cartridge";"Sports / Baseball";Sports;-;English;-;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=NOUX4yxXbtk";-;0;NO;NO;NO;NO;English;"70 to 80 (Good)";-;"29049;29050";YES;"2020 Super Baseball";
"280zzzap";"280-ZZZAP";"1976";"Dave Nutting Associates / Midway";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"midw8080/mw8080bw.cpp";"Mame 0.33b3";"1998-05-17";"Mame 0.254";"2023-04-27";1;1;1;1;1;RASTER;"0";HORIZONTAL;260;224;59.541985;"paddle,pedal";"CRT 15kHz";"Intel 8080";"maincpu Intel 8080 @1.9968 MHz";"Speaker,Netlist Sound Device";"soundboard:mono Speaker, soundboard:sound_nl Netlist Sound Device";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Driving / 1st Person";Driving;-;English;"Black & White";YES;YES;NO;YES;NO;NO;YES;NO;NO;YES;NO;NO;YES;"1P";-;"https://www.youtube.com/watch?v=55mo2R6NRZM";-;0;NO;NO;NO;NO;"Black & White";"30 to 40 (Amendable)";-;-;NO;"280-ZZZAP";
"3countb";"3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)";"1993";SNK;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO;YES;NO;YES;neogeo/neogeo.cpp;"Mame 0.34rc1";"1998-12-14";"Mame 0.254";"2023-04-27";2;4;2;2;1;RASTER;"0";HORIZONTAL;320;224;59.185606;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @12 MHz, audiocpu Zilog Z80 @4 MHz";"YM2610 OPNB,Speaker";"ymsnd YM2610 OPNB @8 MHz, lspeaker Speaker, rspeaker Speaker";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;"memcard,cartridge";"Sports / Wrestling";Sports;-;English;-;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=AYYgTV83UIc";-;100;NO;NO;NO;YES;English;"50 to 60 (Not Good Enough)";-;"29049;29050";YES;"3 Count Bout / Fire Suplex";
"3on3dunk";"3 On 3 Dunk Madness (US, prototype? 1997/02/04)";"1996";"Video System Co.";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;vsystem/inufuku.cpp;"Mame 0.147u2";"2012-10-30";"Mame 0.254";"2023-04-27";4;4;4;1;1;RASTER;"0";HORIZONTAL;320;224;60.000000;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @16 MHz, audiocpu Zilog Z80 @8 MHz";"Speaker,YM2610 OPNB";"mono Speaker, ymsnd YM2610 OPNB @8 MHz";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;PRELIMINARY;GOOD;GOOD;-;"Sports / Basketball";Sports;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=tY-4hzDho_A";-;100;NO;NO;NO;NO;English;"40 to 50 (Decent)";-;-;NO;"3 On 3 Dunk Madness";
"bowl3d";"3-D Bowling";"1978";"Meadows Games, Inc.";YES;-;NO;-;"bowl3d";YES;NO;NO;-;NO;YES;NO;NO;meadows/meadows.cpp;"Mame 0.109u4";"2006-10-26";"Mame 0.254";"2023-04-27";2;4;1;1;1;RASTER;"90";VERTICAL;256;224;60.000000;"joystick (2-way)";"CRT 15kHz";"Signetics 2650";"maincpu Signetics 2650 @0.625 MHz, audiocpu Signetics 2650 @0.625 MHz";"Speaker,8-Bit R-2R DAC,Samples";"speaker Speaker, dac 8-Bit R-2R DAC, samples Samples, samples2 Samples";PRELIMINARY;GOOD;GOOD;PRELIMINARY;GOOD;GOOD;GOOD;NODUMP;-;"Sports / Bowling";Sports;-;English;"Black & White";YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=OdONLQ-gRDo";-;0;NO;NO;NO;NO;"Black & White";"10 to 20 (Horrible)";-;-;NO;"3-D Bowling";
"39in1";"39 in 1 MAME bootleg (GNO-V000)";"2004";bootleg;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;"misc/39in1.cpp";"Mame 0.117";"2007-07-10";"Mame 0.254";"2023-04-27";2;3;3;2;1;RASTER;"90";VERTICAL;296;480;60.000000;"joystick (8-way)";"CRT 31kHz";"Intel XScale PXA255";"maincpu Intel XScale PXA255 @200 MHz";"Speaker,DMA-driven DAC";"pxa_periphs:lspeaker Speaker, pxa_periphs:rspeaker Speaker, pxa_periphs:dac1 DMA-driven DAC, pxa_periphs:dac2 DMA-driven DAC";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;GOOD;-;"MultiGame / Compilation";MultiGame;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=f9Xj8PdasUw";-;0;NO;NO;NO;NO;English;"50 to 60 (Not Good Enough)";-;-;NO;"39 in 1 MAME bootleg";
"3x3puzzl";"3X3 Puzzle (Enterprise)";"1998";"Ace Enterprise";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"promat/3x3puzzl.cpp";"Mame 0.147u2";"2012-10-30";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"0";HORIZONTAL;320;240;60.000000;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000";"maincpu Motorola MC68000 @10 MHz";"Speaker,OKI MSM6295 ADPCM";"mono Speaker, oki OKI MSM6295 ADPCM @1 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Puzzle / Match";Puzzle;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"1P";-;"https://www.youtube.com/watch?v=d7_cBenKzZ4";-;0;YES;NO;NO;NO;English;"50 to 60 (Not Good Enough)";-;-;NO;"3X3 Puzzle";
"4enraya";"4 En Raya (set 1)";"1990";IDSA;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"misc/4enraya.cpp";"Mame 0.62";"2002-11-12";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"0";HORIZONTAL;256;224;60.000000;"joystick (2-way)";"CRT 15kHz";"Zilog Z80";"maincpu Zilog Z80 @4 MHz";"Speaker,AY-3-8910A PSG";"mono Speaker, aysnd AY-3-8910A PSG @2 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Puzzle / Match";Puzzle;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=NhA2f3AhWDU";-;0;NO;NO;NO;NO;English;"30 to 40 (Amendable)";-;-;NO;"4 En Raya";
